Interval,Latitude,Longitude,Arctic cod (No. m^-2),Saffron cod (No. m^-2),Pollock (No. m^-2),Pacific herring (No. m^-2),Capelin (No. m^-2),Pacific cod (No. m^-2)
20190827222845,72.49916,-167.6352119,0.6712755902672465,0.03727888145764125,0.0,0.0,0.0,0.0
20190827223203,72.4992048,-167.60744340000005,0.5328430973275755,0.029591117193657757,0.0,0.0,0.0,0.0
20190827223521,72.4992541,-167.5797248,0.5198859613436119,0.028871550530751303,0.0,0.0,0.0,0.0
20190827223839,72.49930529999997,-167.5520585,0.7590336162299256,0.04215247003191597,0.0,0.0,0.0,0.0
20190827224158,72.49935,-167.524475,0.3510363004903886,0.01949458735440234,0.0,0.0,0.0,0.0
20190827224519,72.4993817,-167.49659169999995,0.6790115414093496,0.03770849279735467,0.0,0.0,0.0,0.0
20190827224839,72.4993833,-167.4689633,0.5787790801219656,0.032142144047697836,0.0,0.0,0.0,0.0
20190827225159,72.49933,-167.4412638,0.8840007326100835,0.0490924428020027,0.0,0.0,0.0,0.0
20190827225519,72.4993006,-167.41342360000004,1.0644104227682496,0.05911138517175572,0.0,0.0,0.0,0.0
20190827225840,72.4993142,-167.3856722,0.6848605597585129,0.03803331447241626,0.0,0.0,0.0,0.0
20190827230200,72.49927290000002,-167.3578255,1.196310412563449,0.06643637084859641,0.0,0.0,0.0,0.0
20190827230520,72.4993228,-167.330124,1.8610570899721532,0.10335267310340644,0.0,0.0,0.0,0.0
20190827230839,72.49931490000002,-167.3024612,0.7137050276657517,0.0396351744467988,0.0,0.0,0.0,0.0
20190827231157,72.499305,-167.2747294,0.9240495415299028,0.05131652903703704,0.0,0.0,0.0,0.0
20190827231515,72.49928670000001,-167.2469983,1.224308903043171,0.06799124998121958,0.0,0.0,0.0,0.0
20190827231832,72.4992833,-167.21934,0.22256600116462041,0.012360067451017549,0.0,0.0,0.0,0.0
20190827232148,72.499305,-167.19155769999998,0.44561269287084393,0.024746829758771873,0.0,0.0,0.0,0.0
20190827232506,72.4993977,-167.16390249999995,1.1091310952818905,0.06159492050883757,0.0,0.0,0.0,0.0
20190827232825,72.49951,-167.136138,1.0749942247649404,0.059699150175767574,0.0,0.0,0.0,0.0
20190827233145,72.4996145,-167.1083766,0.8547119657810825,0.04746590895721335,0.0,0.0,0.0,0.0
20190827233504,72.49981,-167.0805897,0.6330095737723871,0.03515380151521246,0.0,0.0,0.0,0.0
20190827233824,72.49999840000002,-167.052843,0.32747270732153105,0.018185997545373513,0.0,0.0,0.0,0.0
20190827234144,72.5001375,-167.0252354,0.4949300938643957,0.027485641615074767,0.0,0.0,0.0,0.0
20190827234502,72.50021329999998,-166.99756159999995,1.1360554211585598,0.06309014656391917,0.0,0.0,0.0,0.0
20190827234822,72.50021329999998,-166.9699167,1.7907709876182205,0.09944937717569632,0.0,0.0,0.0,0.0
20190827235140,72.50020479999998,-166.94226709999995,0.40296867243790063,0.022378620031477617,0.0,0.0,0.0,0.0
20190827235458,72.5001833,-166.91456680000005,0.2097431389707337,0.01164795760135855,0.0,0.0,0.0,0.0
20190827235816,72.500179,-166.88691269999995,0.3336499484499014,0.018529046872801068,0.0,0.0,0.0,0.0
20190828000134,72.50016190000002,-166.85920269999997,0.3457420678269306,0.019200575364782105,0.0,0.0,0.0,0.0
20190828000451,72.50017840000002,-166.8314985,0.631258035584331,0.03505653090771263,0.0,0.0,0.0,0.0
20190828000807,72.50038509999997,-166.8049784,0.19473324817917478,0.01081439244923265,0.0,0.0,0.0,0.0
20190828015954,72.5001833,-166.7962133,0.2881171802318493,0.016000412294882194,0.0,0.0,0.0,0.0
20190828020351,72.5001069,-166.7683684,0.06906215995414625,0.003835325031140143,0.0,0.0,0.0,0.0
20190828020705,72.5000233,-166.74056169999997,0.09223459926538898,0.005122192348667221,0.0,0.0,0.0,0.0
20190828021019,72.4998929,-166.7128039,0.1204641506128471,0.0066899033060536005,0.0,0.0,0.0,0.0
20190828021333,72.4996833,-166.68501830000002,0.08578558407503092,0.004764050214071814,0.0,0.0,0.0,0.0
20190828021645,72.49945129999998,-166.65729309999998,0.1370647001961583,0.007611804726296936,0.0,0.0,0.0,0.0
20190828021958,72.49924,-166.62948669999997,0.20325676568758694,0.01128774080780964,0.0,0.0,0.0,0.0
20190828022313,72.4989803,-166.6017893,0.16623295906526597,0.009231646234731643,0.0,0.0,0.0,0.0
20190828022627,72.4987107,-166.5739807,0.15470275082522664,0.008591323135855698,0.0,0.0,0.0,0.0
20190828022941,72.49866540000002,-166.5464455,0.24023063902588015,0.013341062366322761,0.0,0.0,0.0,0.0
20190828023257,72.4988233,-166.5189532,0.4772882912569336,0.026505914841693668,0.0,0.0,0.0,0.0
20190828023621,72.4989949,-166.49113,0.40641866757098377,0.01687318418761687,0.0,0.0,0.0,0.0
20190828023949,72.4992064,-166.4634681,0.7495721655287322,0.031119803837916453,0.0,0.0,0.0,0.0
20190828024318,72.4994028,-166.4356908,1.0776959798304537,0.044742439796397825,0.0,0.0,0.0,0.0
20190828024649,72.4994733,-166.4080119,0.6475061202707246,0.026882352858521988,0.0,0.0,0.0,0.0
20190828025019,72.49953670000002,-166.38024040000005,0.49066466499533723,0.020370804609691002,0.0,0.0,0.0,0.0
20190828025349,72.49953020000002,-166.35247919999995,0.4193200190916787,0.017408806435933854,0.0,0.0,0.0,0.0
20190828025721,72.4994773,-166.3246235,0.25983602223663504,0.010787548436159235,0.0,0.0,0.0,0.0
20190828030054,72.4996621,-166.29687990000005,0.4030007132567218,0.0167312818162475,0.0,0.0,0.0,0.0
20190828030428,72.49978,-166.2693297,0.26271584573470985,0.010907109362307458,0.0,0.0,0.0,0.0
20190828030759,72.49985500000003,-166.2413583,0.166903881972153,0.006929307551184248,0.0,0.0,0.0,0.0
20190828031135,72.4997958,-166.2135835,0.4396714163255868,0.018253730405708234,0.0,0.0,0.0,0.0
20190828031506,72.49965870000003,-166.1858265,0.26367152589697057,0.010946786101340034,0.0,0.0,0.0,0.0
20190828031838,72.49951,-166.1582644,0.19132163412027728,0.007943053381085096,0.0,0.0,0.0,0.0
20190828032210,72.49951,-166.1305359,0.418439314029261,0.017372242419712452,0.0,0.0,0.0,0.0
20190828032544,72.499615,-166.10269169999995,0.20073896256663865,0.008334030297527183,0.0,0.0,0.0,0.0
20190828032918,72.49971040000001,-166.07493,0.2017995043160603,0.008378060549336448,0.0,0.0,0.0,0.0
20190828033246,72.4998636,-166.0472266,0.37239119352717037,0.015460473889616286,0.0,0.0,0.0,0.0
20190828033614,72.5000333,-166.0194969,0.4885758000786573,0.020284081717050397,0.0,0.0,0.0,0.0
20190828033944,72.500119,-165.9916451,0.45681273762812263,0.018965382440024093,0.0,0.0,0.0,0.0
20190828034314,72.4999151,-165.9639983,0.5275556161199598,0.0219023971836778,0.0,0.0,0.0,0.0
20190828034643,72.49993,-165.93627949999996,0.4174339419791136,0.017330502634815947,0.0,0.0,0.0,0.0
20190828035015,72.5000333,-165.9086717,0.26463682159813096,0.010986862046306119,0.0,0.0,0.0,0.0
20190828035347,72.5001074,-165.88097140000005,0.49393323908153935,0.020506505198757557,0.0,0.0,0.0,0.0
20190828035720,72.50008170000002,-165.85321499999995,0.6187491624970779,0.025688457292416783,0.0,0.0,0.0,0.0
20190828040052,72.5001233,-165.8254793,0.4373878650240316,0.01815892476616121,0.0,0.0,0.0,0.0
20190828040423,72.5000865,-165.7977309,0.37447401501187894,0.015546945878598459,0.0,0.0,0.0,0.0
20190828040755,72.5002648,-165.7701531,0.47280858717090035,0.01962947820408303,0.0,0.0,0.0,0.0
20190828041127,72.50024,-165.7425533,0.5267835927541616,0.021870345278876737,0.0,0.0,0.0,0.0
20190828041459,72.50032829999998,-165.714745,0.49804654915355806,0.020677276484602984,0.0,0.0,0.0,0.0
20190828041833,72.5002917,-165.6869917,0.6399512216729915,0.02656869798552662,0.0,0.0,0.0,0.0
20190828042205,72.500232,-165.6593522,0.50850127679146,0.02111132284898968,0.0,0.0,0.0,0.0
20190828042539,72.50007,-165.6333686,0.8370314759707862,0.03475083058880538,0.0,0.0,0.0,0.0
20190828043110,72.49995159999997,-165.6055001,0.5103159813693308,0.02118666349407374,0.0,0.0,0.0,0.0
20190828043712,72.50003620000003,-165.5776518,0.8422616852938368,0.03496797190706486,0.0,0.0,0.0,0.0
20190828044307,72.4999829,-165.5498579,0.27772690309159764,0.011530319750623023,0.0,0.0,0.0,0.0
20190828044858,72.49990190000003,-165.5222257,0.21553321779843015,0.008948239765154364,0.0,0.0,0.0,0.0
20190828045444,72.49990090000001,-165.4944325,0.21565060134086345,0.008953113148907562,0.0,0.0,0.0,0.0
20190828050031,72.499808,-165.46670930000005,0.2634752992847018,0.010938639409182004,0.0,0.0,0.0,0.0
20190828050622,72.49982220000003,-165.4389041,0.2963257834850851,0.01230248490840385,0.0,0.0,0.0,0.0
20190828051222,72.5000633,-165.411225,0.19031490023161596,0.007901257057026581,0.0,0.0,0.0,0.0
20190828051821,72.5001077,-165.38356940000003,0.2651749306599147,0.011009202588331247,0.0,0.0,0.0,0.0
20190828052416,72.49982309999999,-165.3559181,0.12457491710766129,0.005171946293893182,0.0,0.0,0.0,0.0
20190828053021,72.49971,-165.3280303,0.3000407274290251,0.012456717325392141,0.0,0.0,0.0,0.0
20190828053625,72.4996917,-165.30036830000003,0.20254136708569495,0.008408860284091713,0.0,0.0,0.0,0.0
20190828054226,72.4999583,-165.2727367,0.1985877489284426,0.008244718888268434,0.0,0.0,0.0,0.0
20190828054832,72.50003570000001,-165.2450094,0.32880627827540043,0.013650969647977091,0.0,0.0,0.0,0.0
20190828055435,72.5000998,-165.2173315,0.20678516567937436,0.008585049029923781,0.0,0.0,0.0,0.0
20190828060040,72.50005820000001,-165.1899739,0.20655488874640676,0.008575488678960519,0.0,0.0,0.0,0.0
20190828180502,72.499865,-165.1882233,0.0210627730886708,0.0008744579867639268,0.0,0.0,0.0,0.0
20190828180846,72.4999333,-165.1605383,0.1250895398889251,0.005193311761745139,0.0,0.0,0.0,0.0
20190828181214,72.49997330000002,-165.13296100000005,0.10093979587467648,0.004190692759840611,0.0,0.0,0.0,0.0
20190828181545,72.5000043,-165.105156,0.21466329867235617,0.008912123546071377,0.0,0.0,0.0,0.0
20190828181917,72.4999933,-165.0774017,0.26592744883984504,0.011040444701095886,0.0,0.0,0.0,0.0
20190828182251,72.4999783,-165.04963999999995,0.3153220075397153,0.013091146485528657,0.0,0.0,0.0,0.0
20190828182623,72.500015,-165.02201000000005,0.3645617995696425,0.015135422860046897,0.0,0.0,0.0,0.0
20190828182956,72.50000849999998,-164.9942631,0.5189954237888587,0.021547005777218367,0.0,0.0,0.0,0.0
20190828183329,72.4999067,-164.96658440000004,0.44782830858265077,0.018592378101877263,0.0,0.0,0.0,0.0
20190828183701,72.49997909999998,-164.938808,0.22034713084057928,0.009148097812798595,0.0,0.0,0.0,0.0
20190828184031,72.50011429999998,-164.9111295,0.32022553218502525,0.013294724916112124,0.0,0.0,0.0,0.0
20190828184401,72.500196,-164.8835903,0.46500693469620946,0.01930557891088218,0.0,0.0,0.0,0.0
20190828184734,72.50029509999997,-164.8558362,0.22539313950128864,0.009357591717334916,0.0,0.0,0.0,0.0
20190828185110,72.500475,-164.82811,0.4023090557835494,0.016702566442507123,0.0,0.0,0.0,0.0
20190828185443,72.5004333,-164.800405,0.1493440323660889,0.006200279579909292,0.0,0.0,0.0,0.0
20190828185816,72.5004239,-164.7726414,0.13561162416056957,0.005630154554951859,0.0,0.0,0.0,0.0
20190828190149,72.5003188,-164.74487130000003,0.10456544148199537,0.004341217799689828,0.0,0.0,0.0,0.0
20190828190523,72.5002196,-164.7171934,0.1562803559385012,0.006488253225221922,0.0,0.0,0.0,0.0
20190828190858,72.50019,-164.6895233,0.1500076220375041,0.006227829669615681,0.0,0.0,0.0,0.0
20190828191235,72.50007,-164.6618257,0.17772532712636693,0.007378578836772836,0.0,0.0,0.0,0.0
20190828191612,72.4999974,-164.6340961,0.09933358315989779,0.004124008020324126,0.0,0.0,0.0,0.0
20190828191948,72.49991329999997,-164.6063032,0.1944555515013157,0.008073163460703496,0.0,0.0,0.0,0.0
20190828192322,72.4999243,-164.5786177,0.3630300224397167,0.015071828444468735,0.0,0.0,0.0,0.0
20190828192655,72.4995279,-164.55203380000003,0.09576825004248006,0.003975986959335731,0.0,0.0,0.0,0.0
20190828204421,72.5001227,-164.53891130000005,0.24192357385846158,0.010043881708095823,0.0,0.0,0.0,0.0
20190828204757,72.50006009999998,-164.5111149,0.15278721332990292,0.006343229279879263,0.0,0.0,0.0,0.0
20190828205131,72.5000766,-164.48344269999996,0.20318806212473176,0.008435708963480231,0.0,0.0,0.0,0.0
20190828205505,72.5001209,-164.4557121,0.2372735426692194,0.009850827503157383,0.0,0.0,0.0,0.0
20190828205838,72.5002104,-164.42804840000005,0.35551574405582664,0.014759859990936845,0.0,0.0,0.0,0.0
20190828210208,72.5003186,-164.4003574,0.27181060982756344,0.01128469445358004,0.0,0.0,0.0,0.0
20190828210538,72.5004558,-164.37269750000004,0.3321296087230679,0.013788943543457163,0.0,0.0,0.0,0.0
20190828210910,72.50043670000002,-164.3449918,0.20691606753846295,0.008590483650315414,0.0,0.0,0.0,0.0
20190828211243,72.500425,-164.3173367,0.42670158128215485,0.017715264943773526,0.0,0.0,0.0,0.0
20190828211615,72.50034000000002,-164.28967,0.398754887133262,0.01655500889396126,0.0,0.0,0.0,0.0
20190828211947,72.5002415,-164.26194009999998,0.3496781154736327,0.014517500596191207,0.0,0.0,0.0,0.0
20190828212319,72.50016,-164.23424540000005,0.22893672670721243,0.009504709958636072,0.0,0.0,0.0,0.0
20190828212651,72.5002087,-164.20658269999996,0.19377775606747777,0.008045023593861111,0.0,0.0,0.0,0.0
20190828213021,72.50017700000002,-164.1789002,0.19261780443722887,0.007996866166377549,0.0,0.0,0.0,0.0
20190828213351,72.500137,-164.1511415,0.7484205763718113,0.03107199359317812,0.0,0.0,0.0,0.0
20190828213721,72.5001608,-164.1233779,0.582044269877859,0.024164589263811938,0.0,0.0,0.0,0.0
20190828214051,72.50013390000002,-164.0955794,0.5605117276700564,0.02327062798767791,0.0,0.0,0.0,0.0
20190828214419,72.50016600000002,-164.0678034,0.8129420270434848,0.03375071484321261,0.0,0.0,0.0,0.0
20190828214747,72.50017829999999,-164.04010669999997,0.4190010050915269,0.017395562009887563,0.0,0.0,0.0,0.0
20190828215114,72.5002083,-164.0123983,0.21527539952513117,0.008937535987113956,0.0,0.0,0.0,0.0
20190828215442,72.50025409999998,-163.9846946,0.45497093358609886,0.0,0.007210962763280837,0.0,0.0,0.0
20190828215812,72.5002379,-163.9569159,1.7825035104044544,0.0,0.02825140133155972,0.0,0.0,0.0
20190828220140,72.5002937,-163.92920790000005,1.2723145189197012,0.0,0.02016527198076121,0.0,0.0,0.0
20190828220508,72.50037840000002,-163.9014204,2.0033271003076814,0.0,0.03175129674581213,0.0,0.0,0.0
20190828220838,72.500445,-163.8738267,1.267752976469082,0.0,0.020092974806766015,0.0,0.0,0.0
20190828221207,72.50058829999998,-163.8460117,0.9374780299403193,0.0,0.014858353943646643,0.0,0.0,0.0
20190828221539,72.50076390000002,-163.8183066,1.2781055861590147,0.0,0.020257056240272617,0.0,0.0,0.0
20190828221909,72.5010083,-163.790517,0.5543072462426879,0.0,0.008785372024904488,0.0,0.0,0.0
20190828222239,72.50125820000002,-163.762766,0.376507503831572,0.0,0.005967373715118558,0.0,0.0,0.0
20190828222608,72.501545,-163.73502219999997,0.957276817918137,0.0,0.015172150523444972,0.0,0.0,0.0
20190828222940,72.5018817,-163.7073117,1.4114884246087,0.0,0.022371078500349282,0.0,0.0,0.0
20190828223310,72.5020593,-163.6795305,1.0888085123207647,0.0,0.017256833478976087,0.0,0.0,0.0
20190828223640,72.50223170000002,-163.651815,0.8679487841819689,0.0,0.013756365299727749,0.0,0.0,0.0
20190828224007,72.50229399999998,-163.6240582,0.442293058241917,0.0,0.007010027538017392,0.0,0.0,0.0
20190828224335,72.5023603,-163.5963602,0.7406324359614354,0.0,0.011738492555780277,0.0,0.0,0.0
20190828224702,72.5020533,-163.5686733,0.5944894938094833,0.0,0.009422231809918994,0.0,0.0,0.0
20190828225032,72.50147750000002,-163.5408164,1.1615436156809513,0.0,0.018409632665064388,0.0,0.0,0.0
20190828225359,72.5007945,-163.5130804,1.3764920599061439,0.0,0.021816411236848902,0.0,0.0,0.0
20190828225726,72.5002252,-163.4958154,0.09727422862624172,0.0,0.001541726709707852,0.0,0.0,0.0
20190829011251,72.4997409,-163.47541130000005,1.1182326974018717,0.0,0.017723185694740146,0.0,0.0,0.0
20190829011619,72.49993509999999,-163.44961980000005,1.4729059010034364,0.0,0.02334450142171851,0.0,0.0,0.0
20190829012050,72.5001359,-163.42213569999996,1.6026034104272977,0.0,0.025400113861824117,0.0,0.0,0.0
20190829012652,72.5002353,-163.39394109999995,1.5190107102636365,0.0,0.024075229558983575,0.0,0.0,0.0
20190829013237,72.50053829999997,-163.3660481,1.4902103568249485,0.0,0.023618764627053118,0.0,0.0,0.0
20190829013744,72.5008858,-163.33824909999996,1.168464688814066,0.0,0.01851932670690492,0.0,0.0,0.0
20190829014238,72.5010817,-163.3106752,1.4316895433711205,0.0,0.022691251734411808,0.0,0.0,0.0
20190829014724,72.5010633,-163.28296719999997,1.5889863341368833,0.0,0.025184292975616047,0.0,0.0,0.0
20190829015208,72.50105,-163.2551773,1.5105504320315157,0.0,0.02394114022096163,0.0,0.0,0.0
20190829015652,72.50080009999998,-163.2275081,1.2402747674652266,0.0,0.019657464915251274,0.0,0.0,0.0
20190829020138,72.50050470000002,-163.1999142,1.437882463458878,0.0,0.022789405073122743,0.0,0.0,0.0
20190829020625,72.50026170000002,-163.17234,1.4523492045246398,0.0,0.0230186925361392,0.0,0.0,0.0
20190829021112,72.5000449,-163.14471310000005,1.2450907730358227,0.0,0.019733795147118986,0.0,0.0,0.0
20190829021558,72.4996666,-163.1172116,0.905082623684762,0.0,0.014344910004759315,0.0,0.0,0.0
20190829022044,72.4994037,-163.08949040000005,0.8262516446537338,0.0,0.01309549556437381,0.0,0.0,0.0
20190829022531,72.4992209,-163.0619304,0.4565324706954481,0.0,0.0072357120057471,0.0,0.0,0.0
20190829023022,72.4992333,-163.0342638,1.2836613848611391,0.0,0.020345111662244772,0.0,0.0,0.0
20190829023513,72.4992267,-163.00667,0.6186139312952088,0.0,0.009804586829881768,0.0,0.0,0.0
20190829024004,72.4993767,-162.9790517,0.4847263755362144,0.0,0.0076825651626237935,0.0,0.0,0.0
20190829024456,72.4995212,-162.9513123,0.6332953972994653,0.0,0.010037277529115624,0.0,0.0,0.0
20190829024947,72.49968249999998,-162.9235762,0.716235157890772,0.0,0.0113518132083621,0.0,0.0,0.0
20190829025436,72.49973829999998,-162.89586210000004,1.4627324561692485,0.0,0.023183259622636673,0.0,0.0,0.0
20190829025926,72.4998717,-162.8681667,2.373350119112812,0.0,0.03761589602714478,0.0,0.0,0.0
20190829030415,72.4999986,-162.8404164,5.527223117846482,0.0,0.08760251951256363,0.0,0.0,0.0
20190829030906,72.5000146,-162.8127695,2.9584282778167754,0.0,0.046888964930114664,0.0,0.0,0.0
20190829031353,72.49999079999998,-162.78517769999996,1.3769807663130689,0.0,0.02182415688264453,0.0,0.0,0.0
20190829031841,72.49987,-162.75765149999995,1.96137093412664,0.0,0.031086321623890925,0.0,0.0,0.0
20190829032332,72.499645,-162.73002,2.3747268023689845,0.0,0.03763771546874257,0.0,0.0,0.0
20190829032825,72.4993417,-162.7023824,2.132518188806974,0.0,0.0337988827776241,0.0,0.0,0.0
20190829033320,72.49923829999999,-162.6745325,1.9660424946832245,0.0,0.03116036250586897,0.0,0.0,0.0
20190829033820,72.4992952,-162.6466904,2.5406474647112365,0.0,0.040267438885091836,0.0,0.0,0.0
20190829034323,72.4997411,-162.61895769999995,2.522885417320789,0.0036471820250655704,0.0,0.0036471820250655704,0.0036471820250655704,0.0
20190829034823,72.5001329,-162.5911399,1.9226347144396676,0.002779436086605573,0.0,0.002779436086605573,0.002779436086605573,0.0
20190829035327,72.5002643,-162.5632571,1.6904657430703094,0.002443803523451152,0.0,0.002443803523451152,0.002443803523451152,0.0
20190829035832,72.50022220000002,-162.5352416,1.8080937467909663,0.002613851175187128,0.0,0.002613851175187128,0.002613851175187128,0.0
20190829040333,72.5002533,-162.5074617,1.637026286128731,0.002366549350330677,0.0,0.002366549350330677,0.002366549350330677,0.0
20190829040828,72.500265,-162.480025,1.2611327037197642,0.0018231428572428009,0.0,0.0018231428572428009,0.0018231428572428009,0.0
20190829041318,72.50005990000002,-162.4523394,1.3314803099477843,0.0019248401135589363,0.0,0.0019248401135589363,0.0019248401135589363,0.0
20190829041810,72.49981600000002,-162.4245785,1.9211280721915653,0.002777258025529671,0.0,0.002777258025529671,0.002777258025529671,0.0
20190829042301,72.49959720000003,-162.3968617,2.8088933865108854,0.004060646353290472,0.0,0.004060646353290472,0.004060646353290472,0.0
20190829042747,72.4992583,-162.36916330000003,2.8079091997486967,0.004059223574335637,0.0,0.004059223574335637,0.004059223574335637,0.0
20190829043228,72.4989033,-162.34163830000003,3.6838371308120115,0.005325499316971174,0.0,0.005325499316971174,0.005325499316971174,0.0
20190829043706,72.4988099,-162.313889,2.4592174178786577,0.003555141070074614,0.0,0.003555141070074614,0.003555141070074614,0.0
20190829044145,72.4988513,-162.2862757,2.526525011414671,0.0036524435649170936,0.0,0.0036524435649170936,0.0036524435649170936,0.0
20190829044629,72.49915329999997,-162.2585461,2.1972733804768074,0.003176464504659053,0.0,0.003176464504659053,0.003176464504659053,0.0
20190829045116,72.4992253,-162.230805,3.2744990523248747,0.0047337441497570685,0.0,0.0047337441497570685,0.0047337441497570685,0.0
20190829045602,72.499215,-162.20305249999996,2.346604317563149,0.003392343159231633,0.0,0.003392343159231633,0.003392343159231633,0.0
20190829050045,72.4991182,-162.1752929,1.8461587055050717,0.002668879371179272,0.0,0.002668879371179272,0.002668879371179272,0.0
20190829050525,72.49898359999997,-162.147506,1.1718323116429576,0.0016940467109900458,0.0,0.0016940467109900458,0.0016940467109900458,0.0
20190829051006,72.4989367,-162.11978169999998,1.8821980671020375,0.002720979284607476,0.0,0.002720979284607476,0.002720979284607476,0.0
20190829051444,72.4988517,-162.0921717,1.4452793983863823,0.0020893525353142244,0.0,0.0020893525353142244,0.0020893525353142244,0.0
20190829051922,72.49909170000002,-162.06455830000004,1.2084722858909847,0.00174701489359785,0.0,0.00174701489359785,0.00174701489359785,0.0
20190829052404,72.4990693,-162.0367858,0.8303553808858563,0.0012003942782292565,0.0,0.0012003942782292565,0.0012003942782292565,0.0
20190829052846,72.49896170000002,-162.00907819999995,1.178826897197296,0.0017041583579670539,0.0,0.0017041583579670539,0.0017041583579670539,0.0
20190829053330,72.4991629,-161.981292,0.5822591568333549,0.0008417366544481798,0.0,0.0008417366544481798,0.0008417366544481798,0.0
20190829053815,72.4994362,-161.95362450000005,0.9134482099059978,0.0013205165280717945,0.0,0.0013205165280717945,0.0013205165280717945,0.0
20190829054258,72.4997183,-161.9258956,0.8094615740618258,0.0011701893723080124,0.0,0.0011701893723080124,0.0011701893723080124,0.0
20190829054744,72.5000568,-161.8985101,0.45079180720431367,0.0006516823019381855,0.0,0.0006516823019381855,0.0006516823019381855,0.0
20190829182018,72.4995537,-161.89521619999996,0.23348999649442392,0.00033754228884132117,0.0,0.00033754228884132117,0.00033754228884132117,0.0
20190829182426,72.4998081,-161.86719399999996,0.9644796882215247,0.0013942896329220266,0.0,0.0013942896329220266,0.0013942896329220266,0.0
20190829182750,72.4997067,-161.83953219999995,0.6268770194757187,0.0009062379851505463,0.0,0.0009062379851505463,0.0009062379851505467,0.0
20190829183109,72.4998167,-161.811915,0.36831296895807686,0.0005324476612221362,0.0,0.0005324476612221362,0.0005324476612221362,0.0
20190829183429,72.49997330000002,-161.78429430000003,0.7347217401107455,0.0010621425394767901,0.0,0.0010621425394767901,0.0010621425394767901,0.0
20190829183750,72.50012650000002,-161.75658380000004,1.7516626965714144,0.0025322722375988073,0.0,0.0025322722375988073,0.0025322722375988073,0.0
20190829184111,72.500224,-161.7289232,0.7202669512647497,0.0010412461302729756,0.0,0.0010412461302729756,0.0010412461302729756,0.0
