%** ============================================================================= **
%**                     BERING STRAIT MONTHLY MEANS                               **
%** ============================================================================= **
%** Processed Jan2021 from transalla3 and v4 etc  **
%**                                               **
%**   Contact: Rebecca Woodgate (woodgate@apl.washington.edu) (206)-221-3268
%**   Background: http://psc.apl.washington.edu/BeringStrait.html
%**                                                            
%** If you use these data, especially for publications, please:
%**    a) Email me with the publication reference
%**    b) Cite the data, viz:
%**                                                            
%** CITATIONS:  
%** 1) Woodgate R.A., K.Stafford, F.Prahl, 2015, 
%** A Synthesis of Year-round Interdisciplinary Mooring Measurements  
%** in the Bering Strait (1990-2014) and the RUSALCA years (2004-2011), 
%** Oceanography 28(3):46-67, doi:10.5670/oceanog.2015.57 
%** 2) Woodgate, R.A., 2018                                 
%** Increases in the Pacific inflow to the Arctic from 1990 to 2015, and 
%** insights into seasonal trends and driving mechanisms from year-round 
%** Bering Strait mooring data
%** Progress in Oceanography
%** 3) Woodgate, R.A., and C.Peralta-Ferriz, 2021 submitted
%** Warming and Freshening of the Pacific Inflow to the Arctic from 1990-2019
%** implying dramatic shoaling in Pacific Winter Water ventilation of the
%** Arctic water column, submitted to Geophysical Research Letters
%** 4) Woodgate, R.A.,2020
%** Freshening of the Pacific inflow to the Arctic, ASOF conference      
%** 28th Sept 2020, https://asof.awi.de/outputs/island-2020 
%**                                                            
%** See those references for methods and data isses                      
%**                                                            
%** ============================================================================= **
%** Mooring = number signifies A1, A2, A3, A4                            
%** Mean = monthly mean for given year and month (uncorrected data)      
%** Error = error in that mean      
%** MeanCorr = if present, monthly mean using corrected data 
%**   (vel/trans corrected for instrument depths and dropouts;
%**   salinity corrected for biofouling - see Woodgate 2018
%** CorrErr = error in that mean    
%** NaN = insufficient data to compute annual mean                       
%** ============================================================================= **
%** ============================================================================= **
%** =========== Insitu Near Bottom Temperature (degC) from A3 =================== ** 
%** ============(does not include corrections for ACC or stratification) ======== ** 
%** ============================================================================= ** 
%
% Mooring  Year    Month   Mean  Error
     3     2010     11    0.87    0.48
     3     2010     12   -1.29    0.14
     3     2011      1   -1.78    0.01
     3     2011      2   -1.80    0.00
     3     2011      3   -1.78    0.01
     3     2011      4   -1.77    0.01
     3     2011      5   -1.11    0.22
     3     2011      6    1.44    0.30
     3     2011      7    2.91    0.29
     3     2011      8    3.48    0.18
     3     2011      9    3.49    0.08
     3     2011     10    3.08    0.19
     3     2011     11    0.81    0.54
     3     2011     12   -1.65    0.07
     3     2012      1   -1.74    0.01
     3     2012      2   -1.79    0.01
     3     2012      3   -1.82    0.01
     3     2012      4   -1.82    0.01
     3     2012      5   -1.62    0.12
     3     2012      6   -0.62    0.11
     3     2012      7    0.15    0.19
     3     2012      8    1.64    0.28
     3     2012      9    1.45    0.11
     3     2012     10    1.02    0.25
     3     2012     11   -0.22    0.36
     3     2012     12   -1.61    0.14
     3     2013      1   -1.76    0.01
     3     2013      2   -1.77    0.01
     3     2013      3   -1.80    0.01
     3     2013      4   -1.78    0.00
     3     2013      5   -1.52    0.08
     3     2013      6   -0.17    0.35
     3     2013      7    1.61    0.19
     3     2013      8    1.39    0.08
     3     2013      9    1.89    0.11
     3     2013     10    2.63    0.38
     3     2013     11    1.26    0.39
     3     2013     12   -0.64    0.06
     3     2014      1   -1.79    0.01
     3     2014      2   -1.78    0.00
     3     2014      3   -1.79    0.00
     3     2014      4   -1.77    0.01
     3     2014      5   -1.43    0.12
     3     2014      6   -0.12    0.20
     3     2014      7    2.15    0.24
     3     2014      8    2.53    0.11
     3     2014      9    2.74    0.20
     3     2014     10    2.34    0.07
     3     2014     11    1.99    0.08
     3     2014     12   -0.61    0.52
     3     2015      1   -1.73    0.01
     3     2015      2   -1.76    0.01
     3     2015      3   -1.77    0.00
     3     2015      4   -1.76    0.01
     3     2015      5   -0.90    0.37
     3     2015      6    1.74    0.47
     3     2015      7    3.47    0.14
     3     2015      8    4.06    0.16
     3     2015      9    3.76    0.09
     3     2015     10    3.58    0.10
     3     2015     11    1.00    0.65
     3     2015     12   -1.39    0.14
     3     2016      1   -1.70    0.01
     3     2016      2   -1.75    0.00
     3     2016      3   -1.77    0.01
     3     2016      4   -1.76    0.01
     3     2016      5   -1.16    0.23
     3     2016      6    1.01    0.38
     3     2016      7    1.48    0.12
     3     2016      8    1.52    0.29
     3     2016      9    2.71    0.17
     3     2016     10    5.35    0.25
     3     2016     11    2.79    0.54
     3     2016     12   -0.30    0.20
     3     2017      1   -1.40    0.20
     3     2017      2   -1.72    0.01
     3     2017      3   -1.78    0.00
     3     2017      4   -1.70    0.05
     3     2017      5    0.45    0.53
     3     2017      6    2.95    0.27
     3     2017      7    3.77    0.14
     3     2017      8    3.89    0.24
     3     2017      9    3.18    0.13
     3     2017     10    4.07    0.28
     3     2017     11    1.76    0.23
     3     2017     12    0.00    0.28
     3     2018      1   -1.47    0.22
     3     2018      2   -1.63    0.03
     3     2018      3   -1.77    0.00
     3     2018      4   -1.58    0.08
     3     2018      5   -0.41    0.35
     3     2018      6    2.05    0.39
     3     2018      7    3.71    0.28
     3     2018      8    4.31    0.10
     3     2018      9    4.49    0.39
     3     2018     10    5.42    0.80
     3     2018     11    3.79    0.64
     3     2018     12   -0.50    0.80
     3     2019      1   -1.27    0.19
     3     2019      2   -1.77    0.00
     3     2019      3   -1.74    0.00
     3     2019      4   -1.73    0.01
     3     2019      5   -1.03    0.31
     3     2019      6    1.23    0.39
     3     2019      7    3.45    0.29
     3     2019      8    2.93    0.31
     3     2019      9     NaN     NaN
     3     2019     10     NaN     NaN
     3     2019     11     NaN     NaN
     3     2019     12     NaN     NaN
