"SHIP","SURVEY","CLAMS_EVENT_NUMBER","CLAMS_STATION_NUMBER","GRID_STATION_NAME","GEAR","GEAR_ACTIVITY","LATITUDE","LONGITUDE","TIMESTAMP","CLAMS_COMMENTS"
175,201701,65,"9","CH-K08","Nordic","Surface trawl at pre-determined station","71.08213","-158.049615","08122017 17:14:37.276","CHK08  M0VED LIGHTLY OFF STATION FOR MORE DEPTH -SAFETY.  FS70 TWEAKED TO SIDE, BUT BOUYS LOOK GOOD"
175,201901,65,"","","Current Profiler","Mooring Recovery","70.83614","-163.117343333","08182019 14:09:37.444","18-CKPA"
175,201701,66,"","","Seabird Survey","Seabird Survey End","71.19961","-158.011115","08122017 18:54:49.674",""
175,201901,66,"","","Current Profiler","Mooring Recovery","70.838105","-163.12406","08182019 14:28:54.941","18CKIP-1A"
175,201701,67,"","","AI17_AU","Mooring Recovery","71.20356","-158.016726667","08122017 19:02:26.528","C5"
175,201901,67,"","","Current Profiler","Mooring Deployment","70.8388116667","-163.1283","08182019 15:00:34.151",""
175,201701,68,"","","AI17_AU","Mooring Deployment","71.20514","-158.018643333","08122017 19:23:37.694","C5"
175,201901,68,"","","AI19_AU","Mooring Deployment","70.8359433333","-163.122415","08182019 15:14:02.432","IC1"
175,201701,69,"","","Current Profiler","Mooring Recovery","71.200925","-158.014553333","08122017 19:47:52.187","C5"
175,201901,69,"28","","CTD","Oceanography","70.8352816667","-163.123466667","08182019 15:29:42.705","CTD031 AT MOORING IC1"
175,201701,70,"","","Current Profiler","Mooring Deployment","71.2022","-158.011611667","08122017 20:24:01.469","C5"
175,201901,70,"","","Current Profiler","Mooring Deployment","71.2123216667","-164.222351667","08182019 21:17:35.585","ITAE"
175,201701,71,"10","","CTD","Oceanography","71.2002333333","-158.015948333","08122017 20:34:50.698","C5"
175,201901,71,"","","Current Profiler","Mooring Deployment","71.220045","-164.251475","08182019 21:36:53.355","19CKP-2A"
175,201701,72,"","","Seabird Survey","Seabird Survey Start","71.199985","-158.015668333","08122017 20:38:48.155","C5"
175,201901,72,"","","AI19_AU","Mooring Deployment","71.2167483333","-164.251825","08182019 21:48:42.781","IC2"
175,201701,73,"","","Seabird Survey","Seabird Survey End","71.4997833333","-157.774985","08132017 01:22:56.973",""
175,201901,73,"","","Current Profiler","Mooring Deployment","71.214135","-164.252641667","08182019 22:08:23.327","19CKR-2A"
175,201901,74,"29","","CTD","Oceanography","71.2145366667","-164.258181667","08182019 22:21:35.933","CTD032"
175,201701,74,"","","Marinovich","Opportunistic off-bottom sample","71.5089","-157.899621667","08132017 02:33:58.584","OS17MW1"
175,201701,75,"","","Seabird Survey","Seabird Survey Start","71.5456066667","-157.78897","08132017 03:51:19.450",""
175,201901,75,"30","","CTD","Oceanography","71.600075","-161.515518333","08192019 14:09:14.796","CTD033 AT MOORINGS CEO1 AND 2"
175,201901,76,"","","Current Profiler","Mooring Recovery","71.5988616667","-161.507815","08192019 15:03:40.593","CEO-1"
175,201701,76,"11","CH-L08","Nordic","Surface trawl at pre-determined station","71.487795","-157.542305","08132017 15:05:38.198","CHL08  FS70 NOT GIVING US A PICTURE  EVERYTHNG ON THE NET LOOKS GOOD FOM THE VESSEL"
175,201901,77,"","","Current Profiler","Mooring Recovery","71.5992583333","-161.523158333","08192019 15:26:30.069","CEO-2"
175,201701,77,"11","CH-L08","Bongo","Oblique tow","71.5025616667","-157.49847","08132017 16:44:13.293","CHL08"
175,201701,78,"11","CH-L08","CTD","Oceanography","71.4986116667","-157.511453333","08132017 17:13:53.209","CHL08"
175,201901,78,"","","Current Profiler","Mooring Deployment","71.5996566667","-161.527463333","08192019 16:03:56.548","CEO2-19"
175,201901,79,"","","Current Profiler","Mooring Deployment","71.5995166667","-161.506988333","08192019 16:18:11.815","CEO1-19"
175,201701,79,"11","CH-L08","CTD","Oceanography","71.4956416667","-157.512063333","08132017 17:42:37.928","CHL08  SECOND CAST FOR EISNERS PRODUCTION  EXPERIMENT"
175,201701,80,"11","CH-L08","3m Beam Trawl","Standard bottom sample","71.49133","-157.539825","08132017 19:18:00.377",""
175,201901,80,"31","","CTD","Oceanography","71.5964833333","-161.515683333","08192019 16:34:44.370","CTD034 AT MOORINGS CEO-1 AND -2"
175,201901,81,"32","","CTD","Oceanography","71.046445","-160.495085","08192019 21:21:29.586","CTD035 AT MOORING 18CK4A"
175,201701,81,"","","Seabird Survey","Seabird Survey Start","71.248667","-161.837833","081-2017 21:43:00.000",""
175,201701,82,"","","Seabird Survey","Seabird Survey Start","71.007500","-159.341500","08112017 20:34:00.000",""
175,201901,82,"","","AI19_AU","Mooring Recovery","71.0433616667","-160.502276667","08192019 21:43:59.581","CKP-4A. NOT AN AURAL MOORING"
175,201701,83,"","","Seabird Survey","Seabird Survey End","71.000500","-160.274667","08112017 23:40:00.000",""
175,201901,83,"","","AI19_AU","Mooring Recovery","71.0433933333","-160.49583","08192019 22:05:13.749","WT1"
175,201901,84,"","","Current Profiler","Mooring Deployment","71.043175","-160.4951","08192019 22:25:26.350","CKP-4A"
175,201701,84,"","","Seabird Survey","Seabird Survey Start","71.003167","-159.546833","08122017 02:33:00.000",""
175,201701,85,"","","Seabird Survey","Seabird Survey Start","71.089333","-157.952499","08122017 18:04:00.000",""
175,201901,85,"","","AI19_AU","Mooring Deployment","71.0437166667","-160.503346667","08192019 22:35:43.437","WT1"
175,201901,86,"33","","CTD","Oceanography","71.2062683333","-158.015573333","08202019 04:04:58.577","CTD036 AT MOORING 18CKP5A"
175,201701,86,"","","Seabird Survey","Seabird Survey End","71.5481116667","-155.582983333","08142017 01:58:44.107",""
175,201901,87,"","","Current Profiler","Mooring Recovery","71.2084216667","-158.011073333","08202019 04:21:00.412","18CKP5A"
175,201701,87,"","","AI17_AU","Mooring Recovery","71.5494533333","-155.55123","08142017 02:26:33.190","AL17-AU-BF1"
175,201901,88,"","","AI19_AU","Mooring Recovery","71.2050916667","-158.01182","08202019 04:32:43.992","PB1"
175,201701,88,"","","AI17_AU","Mooring Deployment","71.549985","-155.545651667","08142017 02:38:55.513","AI17-AU-BF1"
175,201901,89,"","","Current Profiler","Mooring Deployment","71.203535","-158.012045","08202019 04:54:57.997","18CKP5A"
175,201701,89,"","","Seabird Survey","Seabird Survey Start","71.55094","-155.543278333","08142017 02:43:40.986",""
175,201901,90,"","","AI19_AU","Mooring Deployment","71.2057716667","-158.011008333","08202019 05:03:52.685",""
175,201701,90,"","","Seabird Survey","Seabird Survey End","71.741285","-154.526516667","08142017 06:12:30.615",""
175,201901,91,"","","AI19_AU","Mooring Recovery","71.7515083333","-154.448201667","08202019 13:43:15.840",""
175,201701,91,"","","AI17_AU","Mooring Recovery","71.75258","-154.467973333","08142017 06:28:56.836","BARROW 2"
175,201901,92,"","","AI19_AU","Mooring Deployment","71.752315","-154.46956","08202019 13:57:06.846","AU-BF2"
175,201701,92,"","","AI17_AU","Mooring Deployment","71.7515783333","-154.472043333","08142017 07:10:07.744","AI17-AU-BF2"
175,201701,93,"12","BF-M10","CTD","Oceanography","71.9929433333","-153.224771667","08142017 14:59:38.007","BF-M10  BOTTOM DEPTH UNKNOWN.  OVER 1000M"
175,201901,93,"34","","3m Beam Trawl","Standard bottom sample","71.876875","-153.602245","08202019 16:54:54.652","PSBTOO1"
175,201701,94,"12","BF-M10","Bongo","Oblique tow","71.9922966667","-153.179263333","08142017 15:40:32.138","BFM10  BOTTOM DEPTH UNKOWN.  OVER 1000M"
175,201901,94,"34","","CTD","Oceanography","71.87881","-153.58085","08202019 17:56:50.860","CTD 037. BFA-8. CTD is for BFA-8/Beam Trawl. This location is an approximation of where net was ""in water."" Bot. Depth is also approximate based on scale and not on read-out."
175,201701,95,"","","Seabird Survey","Seabird Survey Start","71.9726183333","-153.280406667","08142017 16:36:14.043",""
175,201901,95,"34","","Bongo","Oblique tow","71.8852816667","-153.568493333","08202019 18:41:55.422","Bongo 007. BFA-8. This bongo is associated with beam trawl 001. The location is an approximation of where the beam trawl net was ""in water."" Bot. depth is an approximation based on graph display and not on read out."
175,201901,96,"","","CTD","Opportunistic bottom sample","71.7095466667","-153.750638333","08202019 20:27:44.264","CTD 038. BFA-6."
175,201701,96,"","","Seabird Survey","Seabird Survey End","71.9224616667","-153.631051667","08142017 18:18:04.889",""
175,201901,97,"","","Bongo","Opportunistic bottom sample","71.7137433333","-153.750221667","08202019 20:50:53.755","Bongo 008. BFA-6."
175,201701,97,"0","","Marinovich","Opportunistic off-bottom sample","","","",".TARGET IS LAYER AT 250M.  OS17MW2. LOST PORT WARP"
175,201701,98,"","","Seabird Survey","Seabird Survey Start","71.81344","-153.777491667","08142017 20:59:31.495",""
175,201901,98,"35","","3m Beam Trawl","Standard bottom sample","71.722405","-153.770411667","08202019 21:21:52.993","PSBT002"
175,201701,99,"","","Seabird Survey","Seabird Survey End","71.8955766667","-153.466538333","08142017 22:03:52.518",""
175,201901,99,"","","Bongo","Opportunistic bottom sample","71.5396833333","-154.061906667","08202019 23:08:21.072","Bongo 009. BFA-4."
175,201901,100,"","","CTD","Opportunistic bottom sample","71.5032733333","-154.101863333","08202019 23:38:59.499","CTD 039.  BFA-4."
175,201701,100,"13","","CTD","Oceanography","71.8971433333","-153.446726667","08142017 22:28:40.898","PHYLLIS STABENO LINE.  STATION B154-09"
175,201901,101,"","","CTD","Opportunistic bottom sample","71.4284","-154.238501667","08212019 00:36:33.715","CTD 040. BFA-2."
175,201701,101,"","","Seabird Survey","Seabird Survey Start","71.8940116667","-153.444038333","08142017 22:44:47.156",""
175,201901,102,"","","Bongo","Opportunistic bottom sample","71.4263833333","-154.243118333","08212019 00:48:05.738","Bongo 010. BFA-2."
175,201701,102,"","","Seabird Survey","Seabird Survey End","71.82177","-153.608926667","08142017 23:22:52.205",""
175,201901,103,"","","AI19_AU","Mooring Recovery","71.55131","-155.528665","08212019 03:56:54.775","AUBF1"
175,201701,103,"14","","CTD","Oceanography","71.8157033333","-153.577383333","08142017 23:49:15.468","B154-08"
175,201901,104,"38","","CTD","Oceanography","67.6697183333","-168.738323333","08222019 22:50:27.567","AT MOORING N6"
175,201701,104,"14","","Bongo","Oblique tow","71.8133016667","-153.575711667","08152017 01:30:24.382","B154-08"
175,201901,105,"","","Current Profiler","Mooring Recovery","67.670975","-168.742043333","08222019 23:11:07.382","N6"
175,201701,105,"","","Seabird Survey","Seabird Survey Start","71.824335","-153.6069","08152017 02:00:12.674",""
175,201901,106,"","","DAFT","Mooring Recovery","70.0139833333","-166.857846667","08262019 20:59:04.767","DAFT-1"
175,201701,106,"","","Seabird Survey","Seabird Survey End","71.6056183333","-153.95326","08152017 03:50:43.188",""
175,201901,107,"39","CH-N01","CTD","Oceanography","72.4990633333","-168.502148333","08272019 15:23:22.122","CH-N01"
175,201701,107,"15","BF-L10","Bongo","Oblique tow","71.6037583333","-153.940265","08152017 04:00:56.877","BF-L10.  STATION B154-06 ON PHYLLIS LINE"
175,201901,108,"39","CH-N01","Bongo","Oblique tow","72.4963733333","-168.501545","08272019 15:43:27.766","JUDAE001"
175,201701,108,"15","BF-L10","CTD","Oceanography","71.6031133333","-153.92863","08152017 04:14:20.390","BF-L10, PHYLLIS STN B154-06"
175,201901,109,"39","CH-N01","Benthic Grab","Benthic grab","72.4946233333","-168.499701667","08272019 15:53:55.208",""
175,201701,109,"","","Seabird Survey","Seabird Survey Start","71.6398566667","-153.899721667","08152017 05:08:15.229",""
175,201901,110,"39","CH-N01","Bongo","Oblique tow","72.494085","-168.49026","08272019 16:03:49.934",""
175,201701,110,"","","Seabird Survey","Seabird Survey End","71.71691","-153.75027","08152017 05:50:38.991",""
