"SHIP","SURVEY","CLAMS_EVENT_NUMBER","CLAMS_STATION_NUMBER","GRID_STATION_NAME","GEAR","NET_PARTITION","CATCH_SAMPLE_NUMBER","SPECIES_CODE","COMMON_NAME","SCIENTIFIC_NAME","SPECIES_SUBCATEGORY","TOTAL_WEIGHT_IN_HAUL","SAMPLED_WEIGHT","TOTAL_NUMBER_IN_HAUL","SAMPLED_NUMBER","FREQUENCY_EXPANSION","SAMPLED_IN_MIX","WHOLE_HAULED","COMMENTS"
174,2012001,15,"7","Midwater1","CanTrawl","Codend",218,20202,"sand lance unid.","Ammodytes sp.","None",0.12,0.04,18,6,3,0,1,""
174,2012001,15,"7","Midwater1","CanTrawl","Codend",219,23055,"Rainbow smelt","Osmerus mordax","None",0.14,0.14,3,3,1,0,1,""
174,2012001,15,"7","Midwater1","CanTrawl","Codend",220,24185,"Wattled eelpout","Lycodes palearis","None",0.17,0.17,1,1,1,0,1,""
174,2012001,15,"7","Midwater1","CanTrawl","Codend",221,40511,"Aurelia sp.","Aurelia sp.","None",0.08,0.08,1,1,1,0,1,""
174,2012001,19,"9","CH-B01","CanTrawl","Codend",223,40504,"Chrysaora melanaster","Chrysaora melanaster","None",111.38,13.98,95.6052,12,7.9671,0,1,""
174,2012001,24,"12","Midwater2","CanTrawl","Codend",258,40504,"Chrysaora melanaster","Chrysaora melanaster","None",166.5725,3.09,53.9069,1,53.9069,1,0,""
174,2012001,24,"12","Midwater2","CanTrawl","Codend",259,21110,"Pacific herring","Clupea pallasi","None",3833.4275,15.33,21755.264,87,250.0605,1,0,""
174,2012001,27,"13","CH-C02","CanTrawl","Codend",261,40504,"Chrysaora melanaster","Chrysaora melanaster","None",214.36,30.52,196.6606,28,7.0236,0,1,""
174,2012001,27,"13","CH-C02","CanTrawl","Codend",262,10115,"Greenland turbot","Reinhardtius hippoglossoides","None",0.001,0.001,1,1,1,0,1,""
174,2012001,31,"15","CH-C03","CanTrawl","Codend",264,23235,"Chum salmon (juv)","Oncorhynchus keta","Immature",17.92,17.92,5,5,1,0,1,""
174,2012001,31,"15","CH-C03","CanTrawl","Codend",265,40504,"Chrysaora melanaster","Chrysaora melanaster","None",28.2,2.48,22.7419,2,11.371,0,1,""
174,2012001,31,"15","CH-C03","CanTrawl","Codend",266,40562,"Staurophora mertensi","Staurophora mertensi","None",0.09,0.09,0,0,1,0,1,""
174,2012001,31,"15","CH-C03","CanTrawl","Codend",267,21735,"Saffron cod","Eleginus gracilis","Age 0",0.006,0.006,6,6,1,0,1,""
174,2012001,31,"15","CH-C03","CanTrawl","Codend",268,40561,"Lions mane","Cyanea capillata","None",1.21,0.53,66.2075,29,2.283,0,1,""
174,2012001,35,"17","CH-C04","CanTrawl","Codend",282,23235,"Chum salmon (juv)","Oncorhynchus keta","Immature",8.95,8.95,2,2,1,0,1,""
174,2012001,35,"17","CH-C04","CanTrawl","Codend",283,21110,"Pacific herring","Clupea pallasi","None",3.47,3.47,41,41,1,0,1,""
174,2012001,35,"17","CH-C04","CanTrawl","Codend",284,40504,"Chrysaora melanaster","Chrysaora melanaster","None",19.91,5.48,32.6989,9,3.6332,0,1,""
174,2012001,35,"17","CH-C04","CanTrawl","Codend",285,20322,"Bering wolffish","Anarhichas orientalis","None",0.082,0.082,9,9,1,0,1,""
174,2012001,35,"17","CH-C04","CanTrawl","Codend",286,40561,"Lions mane","Cyanea capillata","None",1.27,0.58,45.9828,21,2.1897,0,1,""
174,2012001,35,"17","CH-C04","CanTrawl","Codend",287,40562,"Staurophora mertensi","Staurophora mertensi","None",0.05,0.05,0,0,1,0,1,""
174,2012001,35,"17","CH-C04","CanTrawl","Codend",288,23041,"Capelin","Mallotus villosus","None",7.774,0.094,4135.1064,50,82.7021,0,1,""
174,2012001,35,"17","CH-C04","CanTrawl","Codend",289,20050,"Aleutian alligatorfish","Aspidophoroides bartoni","None",0.001,0.001,1,1,1,0,1,"AGE-0 "
174,2012001,35,"17","CH-C04","CanTrawl","Codend",290,21368,"Shorthorn (Warty) sculpin","Myoxocephalus scorpius","None",0.001,0.001,1,1,1,0,1,""
174,2012001,38,"18","CH-D04","CanTrawl","Codend",293,40504,"Chrysaora melanaster","Chrysaora melanaster","None",13.49,2.18,12.3761,2,6.1881,0,1,""
174,2012001,38,"18","CH-D04","CanTrawl","Codend",294,23041,"Capelin","Mallotus villosus","None",10.92,2.37,230.3797,50,4.6076,0,1,""
174,2012001,38,"18","CH-D04","CanTrawl","Codend",295,23235,"Chum salmon (juv)","Oncorhynchus keta","Immature",27.23,27.23,9,9,1,0,1,""
174,2012001,38,"18","CH-D04","CanTrawl","Codend",296,40562,"Staurophora mertensi","Staurophora mertensi","None",0.07,0.07,0,0,1,0,1,""
174,2012001,38,"18","CH-D04","CanTrawl","Codend",297,40561,"Lions mane","Cyanea capillata","None",0.58,0.48,22.9583,19,1.2083,0,1,""
174,2012001,38,"18","CH-D04","CanTrawl","Codend",299,21735,"Saffron cod","Eleginus gracilis","Age 0",0.014,0.014,14,14,1,0,1,""
174,2012001,38,"18","CH-D04","CanTrawl","Codend",300,20322,"Bering wolffish","Anarhichas orientalis","None",0.034,0.034,5,5,1,0,1,""
174,2012001,38,"18","CH-D04","CanTrawl","Codend",301,21315,"Arctic staghorn sculpin","Gymnocanthus tricuspis","None",0.002,0.002,1,1,1,0,1,""
174,2012001,42,"20","CH-D03","CanTrawl","Codend",307,40504,"Chrysaora melanaster","Chrysaora melanaster","None",164.77,52.86,115.3328,37,3.1171,0,1,""
174,2012001,42,"20","CH-D03","CanTrawl","Codend",308,40561,"Lions mane","Cyanea capillata","None",0.23,0.23,2,2,1,0,1,""
174,2012001,42,"20","CH-D03","CanTrawl","Codend",309,21735,"Saffron cod","Eleginus gracilis","Age 0",0.001,0.001,1,1,1,0,1,""
174,2012001,42,"20","CH-D03","CanTrawl","Codend",310,23041,"Capelin","Mallotus villosus","None",0.001,0.001,1,1,1,0,1,""
174,2012001,42,"20","CH-D03","CanTrawl","Codend",311,23807,"Slender eelblenny","Lumpenus fabricii","None",0.001,0.001,5,5,1,0,1,""
174,2012001,43,"21","Midwater3","CanTrawl","Codend",322,40504,"Chrysaora melanaster","Chrysaora melanaster","None",187.74,104.33,107.9689,60,1.7995,0,1,""
174,2012001,43,"21","Midwater3","CanTrawl","Codend",323,40561,"Lions mane","Cyanea capillata","None",0.65,0.65,14,14,1,0,1,""
174,2012001,47,"23","CH-D02","CanTrawl","Codend",325,40504,"Chrysaora melanaster","Chrysaora melanaster","None",44.26,27.95,22.1696,14,1.5835,0,1,""
174,2012001,47,"23","CH-D02","CanTrawl","Codend",326,40561,"Lions mane","Cyanea capillata","None",0.15,0.15,0,0,1,0,1,""
174,2012001,47,"23","CH-D02","CanTrawl","Codend",328,23041,"Capelin","Mallotus villosus","None",0.001,0.001,1,1,1,0,1,""
174,2012001,51,"25","CH-D01","CanTrawl","Codend",330,23041,"Capelin","Mallotus villosus","None",0.81,0.16,248.0625,49,5.0625,0,1,""
174,2012001,51,"25","CH-D01","CanTrawl","Codend",333,20202,"sand lance unid.","Ammodytes sp.","None",0.001,0.001,1,1,1,0,1,""
174,2012001,51,"25","CH-D01","CanTrawl","Codend",334,23807,"Slender eelblenny","Lumpenus fabricii","None",0.002,0.002,2,2,1,0,1,""
174,2012001,51,"25","CH-D01","CanTrawl","Codend",336,45000,"Comb jelly unident.","Ctenophora (phylum)","None",0.004,0.004,1,1,1,0,1,""
174,2012001,58,"28","CH-E02","CanTrawl","Codend",342,40504,"Chrysaora melanaster","Chrysaora melanaster","None",189.93,57.33,109.3265,33,3.3129,0,1,""
174,2012001,58,"28","CH-E02","CanTrawl","Codend",343,40561,"Lions mane","Cyanea capillata","None",0.14,0.14,5,5,1,0,1,""
174,2012001,58,"28","CH-E02","CanTrawl","Codend",344,98070,"Salps unident.","Thaliacea unident.","None",0.002,0.002,1,1,1,0,1,""
174,2012001,62,"30","CH-E03","CanTrawl","Codend",347,40504,"Chrysaora melanaster","Chrysaora melanaster","None",61.56,18.2,20.2945,6,3.3824,0,1,""
174,2012001,62,"30","CH-E03","CanTrawl","Codend",348,40561,"Lions mane","Cyanea capillata","None",0.3,0.06,5,1,5,0,1,""
174,2012001,62,"30","CH-E03","CanTrawl","Codend",349,23041,"Capelin","Mallotus villosus","None",0.43,0.12,50.1667,14,3.5833,0,1,""
174,2012001,62,"30","CH-E03","CanTrawl","Codend",350,20322,"Bering wolffish","Anarhichas orientalis","None",0.016,0.016,38,38,1,0,1,""
174,2012001,62,"30","CH-E03","CanTrawl","Codend",351,23807,"Slender eelblenny","Lumpenus fabricii","None",0.001,0.001,1,1,1,0,1,""
174,2012001,62,"30","CH-E03","CanTrawl","Codend",352,10211,"Longhead dab","Limanda proboscidea","None",0.001,0.001,1,1,1,0,1,""
174,2012001,62,"30","CH-E03","CanTrawl","Codend",353,21368,"Shorthorn (Warty) sculpin","Myoxocephalus scorpius","None",0.001,0.001,2,2,1,0,1,""
174,2012001,62,"30","CH-E03","CanTrawl","Codend",354,21735,"Saffron cod","Eleginus gracilis","Age 0",0.004,0.004,7,7,1,0,1,""
174,2012001,63,"31","Midwater4","CanTrawl","Codend",356,40504,"Chrysaora melanaster","Chrysaora melanaster","None",57.28,23.2,9.8759,4,2.469,0,1,""
174,2012001,63,"31","Midwater4","CanTrawl","Codend",357,40562,"Staurophora mertensi","Staurophora mertensi","None",0.07,0.07,0,0,1,0,1,""
174,2012001,63,"31","Midwater4","CanTrawl","Codend",358,21735,"Saffron cod","Eleginus gracilis","Age 0",0.02,0.02,16,16,1,0,1,""
174,2012001,63,"31","Midwater4","CanTrawl","Codend",360,10115,"Greenland turbot","Reinhardtius hippoglossoides","None",0.001,0.001,1,1,1,0,1,""
174,2012001,63,"31","Midwater4","CanTrawl","Codend",361,23041,"Capelin","Mallotus villosus","None",0.01,0.01,3,3,1,0,1,""
174,2012001,63,"31","Midwater4","CanTrawl","Codend",362,40561,"Lions mane","Cyanea capillata","None",1.91,1.91,44,44,1,0,1,""
174,2012001,65,"32","CH-F01","CanTrawl","Codend",382,40504,"Chrysaora melanaster","Chrysaora melanaster","None",18.15,4.8,7.5625,2,3.7813,0,1,""
174,2012001,66,"33","Midwater5","CanTrawl","Codend",389,40504,"Chrysaora melanaster","Chrysaora melanaster","None",33.41,1.74,19.2011,1,19.2011,0,1,""
174,2012001,66,"33","Midwater5","CanTrawl","Codend",390,21725,"Arctic cod","Boreogadus saida","None",0.032,0.032,3,3,1,0,1,""
174,2012001,66,"33","Midwater5","CanTrawl","Codend",391,23041,"Capelin","Mallotus villosus","None",0.006,0.006,6,6,1,0,1,""
174,2012001,66,"33","Midwater5","CanTrawl","Codend",392,40561,"Lions mane","Cyanea capillata","None",1.91,1.13,20.2832,12,1.6903,0,1,""
174,2012001,66,"33","Midwater5","CanTrawl","Codend",394,21368,"Shorthorn (Warty) sculpin","Myoxocephalus scorpius","None",0.001,0.001,1,1,1,0,1,""
174,2012001,66,"33","Midwater5","CanTrawl","Codend",395,23807,"Slender eelblenny","Lumpenus fabricii","None",0.001,0.001,1,1,1,0,1,""
174,2012001,66,"33","Midwater5","CanTrawl","Codend",396,21725,"Arctic cod","Boreogadus saida","Age 0",0.038,0.024,53.8333,34,1.5833,0,1,""
174,2012001,70,"35","CH-F02","CanTrawl","Codend",404,40504,"Chrysaora melanaster","Chrysaora melanaster","None",96.06,9.36,51.3141,5,10.2628,0,1,"Photo 846 and 848 jpg"
174,2012001,70,"35","CH-F02","CanTrawl","Codend",405,23041,"Capelin","Mallotus villosus","None",3.19,0.2,781.55,49,15.95,0,1,""
174,2012001,70,"35","CH-F02","CanTrawl","Codend",406,21110,"Pacific herring","Clupea pallasi","None",0.19,0.19,2,2,1,0,1,""
174,2012001,70,"35","CH-F02","CanTrawl","Codend",407,23252,"Dolly Varden","Salvelinus malma","None",0.19,0.19,1,1,1,0,1,""
174,2012001,70,"35","CH-F02","CanTrawl","Codend",408,23235,"Chum salmon (juv)","Oncorhynchus keta","Immature",3,3,1,1,1,0,1,""
174,2012001,70,"35","CH-F02","CanTrawl","Codend",409,40561,"Lions mane","Cyanea capillata","None",1.49,1.02,26.2941,18,1.4608,0,1,""
174,2012001,70,"35","CH-F02","CanTrawl","Codend",410,21735,"Saffron cod","Eleginus gracilis","Age 0",0.008,0.008,9,9,1,0,1,""
174,2012001,70,"35","CH-F02","CanTrawl","Codend",411,20202,"sand lance unid.","Ammodytes sp.","None",0.002,0.002,3,3,1,0,1,""
174,2012001,70,"35","CH-F02","CanTrawl","Codend",412,21368,"Shorthorn (Warty) sculpin","Myoxocephalus scorpius","None",0.008,0.008,2,2,1,0,1,""
174,2012001,70,"35","CH-F02","CanTrawl","Codend",413,40562,"Staurophora mertensi","Staurophora mertensi","None",0.02,0.02,0,0,1,0,1,""
174,2012001,74,"37","CH-G03","CanTrawl","Codend",422,23235,"Chum salmon (juv)","Oncorhynchus keta","Juvenile",2.952,2.952,174,174,1,0,1,""
174,2012001,74,"37","CH-G03","CanTrawl","Codend",424,40504,"Chrysaora melanaster","Chrysaora melanaster","None",11.27,0.36,31.3056,1,31.3056,0,1,""
174,2012001,74,"37","CH-G03","CanTrawl","Codend",425,20202,"sand lance unid.","Ammodytes sp.","None",0.08,0.08,33,33,1,0,1,""
174,2012001,74,"37","CH-G03","CanTrawl","Codend",426,21368,"Shorthorn (Warty) sculpin","Myoxocephalus scorpius","None",0.001,0.001,1,1,1,0,1,""
174,2012001,74,"37","CH-G03","CanTrawl","Codend",427,21735,"Saffron cod","Eleginus gracilis","Age 0",0.02,0.02,28,28,1,0,1,""
174,2012001,74,"37","CH-G03","CanTrawl","Codend",428,40561,"Lions mane","Cyanea capillata","None",1,0.39,30.7692,12,2.5641,0,1,""
174,2012001,74,"37","CH-G03","CanTrawl","Codend",429,23230,"Pink salmon (juv)","Oncorhynchus gorbuscha","Juvenile",0.15,0.15,17,17,1,0,1,""
174,2012001,78,"38","CH-G02","CanTrawl","Codend",442,40504,"Chrysaora melanaster","Chrysaora melanaster","None",61.03,5.37,34.095,3,11.365,0,1,""
174,2012001,78,"38","CH-G02","CanTrawl","Codend",443,40561,"Lions mane","Cyanea capillata","None",4.22,2.01,37.791,18,2.0995,0,1,""
174,2012001,78,"38","CH-G02","CanTrawl","Codend",444,23807,"Slender eelblenny","Lumpenus fabricii","None",0.001,0.001,1,1,1,0,1,""
174,2012001,78,"38","CH-G02","CanTrawl","Codend",445,20202,"sand lance unid.","Ammodytes sp.","None",0.004,0.004,1,1,1,0,1,""
174,2012001,78,"38","CH-G02","CanTrawl","Codend",446,40506,"Aequorea sp.","Aequorea sp.","None",0.008,0.008,1,1,1,0,1,""
174,2012001,79,"39","Midwater6","CanTrawl","Codend",462,40504,"Chrysaora melanaster","Chrysaora melanaster","None",52.45,4.76,22.0378,2,11.0189,0,1,""
174,2012001,79,"39","Midwater6","CanTrawl","Codend",463,40561,"Lions mane","Cyanea capillata","None",1.4,0.59,11.8644,5,2.3729,0,1,""
174,2012001,79,"39","Midwater6","CanTrawl","Codend",465,23041,"Capelin","Mallotus villosus","None",0.007,0.007,2,2,1,0,1,""
174,2012001,79,"39","Midwater6","CanTrawl","Codend",466,23807,"Slender eelblenny","Lumpenus fabricii","None",0.001,0.001,1,1,1,0,1,""
174,2012001,79,"39","Midwater6","CanTrawl","Codend",467,21368,"Shorthorn (Warty) sculpin","Myoxocephalus scorpius","None",0.001,0.001,1,1,1,0,1,""
174,2012001,79,"39","Midwater6","CanTrawl","Codend",468,21725,"Arctic cod","Boreogadus saida","Age 0",0.003,0.003,3,3,1,0,1,""
174,2012001,83,"41","CH-G01","CanTrawl","Codend",482,23041,"Capelin","Mallotus villosus","None",1.122,0.212,264.6226,50,5.2925,0,1,""
174,2012001,83,"41","CH-G01","CanTrawl","Codend",483,40504,"Chrysaora melanaster","Chrysaora melanaster","None",15.49,1.62,9.5617,1,9.5617,0,1,""
174,2012001,83,"41","CH-G01","CanTrawl","Codend",484,40561,"Lions mane","Cyanea capillata","None",0.216,0.156,9.6923,7,1.3846,0,1,""
174,2012001,83,"41","CH-G01","CanTrawl","Codend",485,21368,"Shorthorn (Warty) sculpin","Myoxocephalus scorpius","None",0.001,0.001,2,2,1,0,1,""
174,2012001,86,"42","CH-H01","CanTrawl","Codend",489,40504,"Chrysaora melanaster","Chrysaora melanaster","None",40.58,4.82,50.5145,6,8.4191,0,1,""
174,2012001,86,"42","CH-H01","CanTrawl","Codend",490,23041,"Capelin","Mallotus villosus","None",1.676,0.242,339.3554,49,6.9256,0,1,""
174,2012001,86,"42","CH-H01","CanTrawl","Codend",491,20202,"sand lance unid.","Ammodytes sp.","None",0.001,0.001,6,6,1,0,1,""
174,2012001,86,"42","CH-H01","CanTrawl","Codend",492,21368,"Shorthorn (Warty) sculpin","Myoxocephalus scorpius","None",0.001,0.001,2,2,1,0,1,""
174,2012001,86,"42","CH-H01","CanTrawl","Codend",496,40561,"Lions mane","Cyanea capillata","None",1.68,0.69,14.6087,6,2.4348,0,1,""
174,2012001,87,"43","Midwater7","CanTrawl","Codend",498,40504,"Chrysaora melanaster","Chrysaora melanaster","None",11.96,11.96,0,0,1,0,1,""
174,2012001,87,"43","Midwater7","CanTrawl","Codend",501,21725,"Arctic cod","Boreogadus saida","Age 0",0.116,0.032,181.25,50,3.625,0,1,""
174,2012001,87,"43","Midwater7","CanTrawl","Codend",502,23041,"Capelin","Mallotus villosus","None",0.008,0.008,1,1,1,0,1,""
174,2012001,87,"43","Midwater7","CanTrawl","Codend",503,21368,"Shorthorn (Warty) sculpin","Myoxocephalus scorpius","None",0.004,0.004,10,10,1,0,1,""
174,2012001,87,"43","Midwater7","CanTrawl","Codend",504,23807,"Slender eelblenny","Lumpenus fabricii","None",0.001,0.001,1,1,1,0,1,""
174,2012001,87,"43","Midwater7","CanTrawl","Codend",505,20202,"sand lance unid.","Ammodytes sp.","None",0.001,0.001,1,1,1,0,1,""
174,2012001,90,"45","CH-H02","CanTrawl","Codend",510,40504,"Chrysaora melanaster","Chrysaora melanaster","None",47.51,47.51,0,0,1,0,1,""
174,2012001,90,"45","CH-H02","CanTrawl","Codend",511,23041,"Capelin","Mallotus villosus","None",0.466,0.12,100.9667,26,3.8833,0,1,""
174,2012001,90,"45","CH-H02","CanTrawl","Codend",513,20202,"sand lance unid.","Ammodytes sp.","None",0.011,0.01,26.4,24,1.1,0,1,""
174,2012001,90,"45","CH-H02","CanTrawl","Codend",514,40561,"Lions mane","Cyanea capillata","None",0.638,0.214,14.9065,5,2.9813,0,1,""
174,2012001,90,"45","CH-H02","CanTrawl","Codend",515,20322,"Bering wolffish","Anarhichas orientalis","None",0.006,0.006,1,1,1,0,1,""
174,2012001,94,"47","CH-H03","CanTrawl","Codend",522,21110,"Pacific herring","Clupea pallasi","None",42.08,12.43,331.7651,98,3.3854,0,1,""
174,2012001,94,"47","CH-H03","CanTrawl","Codend",523,40504,"Chrysaora melanaster","Chrysaora melanaster","None",15.79,15.79,0,0,1,0,1,""
174,2012001,94,"47","CH-H03","CanTrawl","Codend",524,23235,"Chum salmon (juv)","Oncorhynchus keta","Immature",5.36,5.36,1,1,1,0,1,""
174,2012001,94,"47","CH-H03","CanTrawl","Codend",525,40561,"Lions mane","Cyanea capillata","None",0.038,0.038,1,1,1,0,1,""
174,2012001,94,"47","CH-H03","CanTrawl","Codend",526,23807,"Slender eelblenny","Lumpenus fabricii","None",0.008,0.008,6,6,1,0,1,""
174,2012001,98,"49","CH-H04","CanTrawl","Codend",530,23041,"Capelin","Mallotus villosus","None",21.942,0.192,5714.0625,50,114.2813,0,1,""
174,2012001,98,"49","CH-H04","CanTrawl","Codend",531,21110,"Pacific herring","Clupea pallasi","None",7.13,7.13,52,52,1,0,1,""
