StationID,Year,ArcticEis_Station,StationNumber,EventStartDate (GMT),Latitude,Longitude,LatitudeStart DD,LongitudeStart DD,BottomDepth (m),Depth (m),PrimarySalinity PSU,PrimaryTemperature deg. C,ChlorophyllA ug/L,BeamTransmisson %,PARIrradiance uE,PrimaryOxygenSat %,SigmaTheta kg/m3,PO4 uM,SiO4 uM,NO3 uM,NO2 uM,NH4 uM,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,10,32.546,1.5333,7.074503478,83.6484,3.5651,110.0512,26.039,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,11,32.5503,1.5625,6.553987297,82.8626,2.7338,110.4386,26.04,1.062853,8.710306,3.621139,0.08808175,1.096128,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,12,32.5656,1.7204,6.658332493,82.8261,2.1206,110.4285,26.042,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,13,32.6079,1.901933,6.726282891,82.6626,1.6499,108.3317,26.063,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,14,32.6358,2.083467,6.313842121,83.2884,1.2876,108.8279,26.072,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,15,32.66205,2.265,5.392176631,83.7591,1.0245,106.6488,26.079,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,16,32.6895,2.534,3.47827402,84.1204,0.82784,104.3457,26.08,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,17,32.7034,2.5772,2.607924186,86.1843,0.69573,104.0309,26.088,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,18,32.705,2.5793,2.500856941,88.5859,0.592,103.7276,26.089,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,19,32.7064,2.5782,1.962496219,89.3361,0.50825,103.6216,26.09,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,20,32.7079,2.5797,2.603790705,89.898,0.44601,103.278,26.091,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,21,32.7071,2.5573,2.307289041,90.4038,0.39256,103.0966,26.092,1.657683,29.16112,15.06984,0.2152835,1.056846,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,22,32.7071,2.5481,1.995967335,90.1185,0.35335,102.7448,26.093,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,23,32.7063,2.5278,2.216856538,90.3347,0.31196,102.5736,26.094,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,24,32.7054,2.5082,2.453372316,90.0285,0.27587,102.2447,26.095,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,25,32.7053,2.5005,1.815808045,89.6731,0.25679,102.0739,26.095,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,26,32.7044,2.4875,1.678596633,90.9443,0.24705,101.8281,26.096,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,27,32.7047,2.4728,1.54229257,90.8405,0.24739,101.4334,26.097,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,28,32.7023,2.449,1.394999496,91.0254,0.23062,101.139,26.097,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,29,32.7017,2.4111,1.106663978,91.8604,0.21613,101.3489,26.099,1.676278,29.35688,15.26558,0.1859269,1.379773,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,30,32.7021,2.3595,1.472325839,92.066,0.1978,101.8248,26.104,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,31,32.7079,2.369,2.226434116,92.2069,0.18516,102.2695,26.108,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,32,32.7234,2.4218,2.960883154,92.7416,0.1664,101.9933,26.116,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,33,32.7501,2.3254,3.576570219,91.686,0.14762,100.4559,26.145,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,34,32.7651,2.3504,2.43865309,90.3207,0.13158,99.8022,26.155,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,35,32.7883,2.396,1.915011594,90.0173,0.11943,98.44388,26.17,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,36,32.7992,2.4056,1.253452969,91.0871,0.10931,97.97121,26.178,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,37,32.8181,2.4268,0.661054542,92.5436,0.10218,97.3923,26.191,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,38,32.8235,2.4242,0.533319891,93.1417,0.095,97.06379,26.196,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,39,32.8258,2.4051,0.409416272,93.7331,0.0893,96.8789,26.199,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,40,32.8301,2.3484,0.412239137,93.9222,0.0827,97.16333,26.207,1.917813,35.61652,19.27597,0.2152647,2.798441,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,41,32.83167,2.2251,1.044258494,93.9108,0.0752,97.26735,26.218,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,42,32.8337,2.1858,1.589676379,92.7739,0.0689,97.07361,26.223,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,43,32.8338,2.1527,1.603185805,92.1869,0.0645,96.98061,26.225,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,44,32.833,2.1267,1.522834963,91.7169,0.0609,96.94752,26.226,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,45,32.8349,2.1053,1.917632826,91.2956,0.058,96.68478,26.23,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,46,32.8343,2.0884,1.765298921,90.812,0.0551,96.60337,26.23,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,47,32.8349,2.0741,1.736767819,90.6592,0.0527,96.66838,26.232,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,48,32.8376,2.063,1.624256477,90.5571,0.0507,96.33115,26.235,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,49,32.8374,2.0606,1.572638371,90.6434,0.0487,96.51827,26.235,1.863003,35.32269,18.59089,0.2152629,1.408994,,,,
'2012080100301,2012,CH-A02,3,8/8/2012,66.00,-167.00,66.046,-167.354,20,0,26.5926,10.541,0.836273818,87.9505,,97.61056,20.313,,,,,,,,,
'2012080100301,2012,CH-A02,3,8/8/2012,66.00,-167.00,66.046,-167.354,20,1,26.5926,10.541,0.836273818,87.9505,,97.61056,20.313,,,,,,,,,
'2012080100301,2012,CH-A02,3,8/8/2012,66.00,-167.00,66.046,-167.354,20,2,26.5926,10.541,0.836273818,87.9505,664.65,97.61056,20.313,0.3283195,14.25339,0,0,0.4226868,,,,
'2012080100301,2012,CH-A02,3,8/8/2012,66.00,-167.00,66.046,-167.354,20,3,26.5942,10.544,0.719528178,88.1455,454.98,98.25054,20.313,,,,,,,,,
'2012080100301,2012,CH-A02,3,8/8/2012,66.00,-167.00,66.046,-167.354,20,4,26.5965,10.5466,0.973888497,88.1583,288.88,98.67547,20.315,,,,,,,,,
'2012080100301,2012,CH-A02,3,8/8/2012,66.00,-167.00,66.046,-167.354,20,5,26.607,10.5299,1.149813489,88.2826,215.75,98.93353,20.326,,,,,,,,,
'2012080100301,2012,CH-A02,3,8/8/2012,66.00,-167.00,66.046,-167.354,20,6,26.6266,10.4608,1.47081359,87.9684,143.89,98.65868,20.352,,,,,,,,,
'2012080100301,2012,CH-A02,3,8/8/2012,66.00,-167.00,66.046,-167.354,20,7,26.63589,10.3896,1.827099506,87.887,100.55,98.82593,20.37,,,,,,,,,
'2012080100301,2012,CH-A02,3,8/8/2012,66.00,-167.00,66.046,-167.354,20,8,26.64166,10.2327,2.264845246,87.8203,74.402,99.57288,20.399,,,,,,,,,
'2012080100301,2012,CH-A02,3,8/8/2012,66.00,-167.00,66.046,-167.354,20,9,26.6475,10.1184,2.782437746,87.6824,52.273,99.54713,20.422,,,,,,,,,
'2012080100301,2012,CH-A02,3,8/8/2012,66.00,-167.00,66.046,-167.354,20,10,26.6532,10.11539,2.675975401,87.7958,39.305,103.1435,20.426,,,,,,,,,
'2012080100301,2012,CH-A02,3,8/8/2012,66.00,-167.00,66.046,-167.354,20,11,26.65897,10.1149,1.869039218,88.0767,28.701,104.3967,20.431,0.3440483,14.25343,0.0982995,0,1.002655,,,,
'2012080100301,2012,CH-A02,3,8/8/2012,66.00,-167.00,66.046,-167.354,20,12,26.66474,10.116,1.749369896,87.7467,21.389,104.2639,20.435,,,,,,,,,
'2012080100301,2012,CH-A02,3,8/8/2012,66.00,-167.00,66.046,-167.354,20,13,26.69935,10.0923,1.729206573,87.9453,16.216,103.1361,20.466,,,,,,,,,
'2012080100301,2012,CH-A02,3,8/8/2012,66.00,-167.00,66.046,-167.354,20,14,27.4443,9.9093,1.881842928,88.2064,12.504,101.6815,21.074,,,,,,,,,
'2012080100301,2012,CH-A02,3,8/8/2012,66.00,-167.00,66.046,-167.354,20,15,28.8909,9.7595,1.630103841,87.6544,9.3584,98.75642,22.225,,,,,,,,,
'2012080100301,2012,CH-A02,3,8/8/2012,66.00,-167.00,66.046,-167.354,20,16,29.17435,9.3644,1.196390765,85.482,7.5591,97.96758,22.506,,,,,,,,,
'2012080100301,2012,CH-A02,3,8/8/2012,66.00,-167.00,66.046,-167.354,20,17,29.2115,9.3501,1.175420909,79.6604,5.6905,97.9856,22.538,,,,,,,,,
'2012080100301,2012,CH-A02,3,8/8/2012,66.00,-167.00,66.046,-167.354,20,18,29.2119,9.348,1.21352959,76.696,4.2996,97.97617,22.538,0.5160567,12.75425,0.1962193,0.02943289,0.4022495,,,,
'2012080100401,2012,CH-B03,4,8/8/2012,67.00,-166.00,66.546,-165.977,19,0,29.3984,9.7804,1.184696038,83.2077,27.803,105.2906,22.617,,,,,,,,,
'2012080100401,2012,CH-B03,4,8/8/2012,67.00,-166.00,66.546,-165.977,19,1,29.3984,9.7804,1.184696038,83.2077,27.803,105.2906,22.617,,,,,,,,,
'2012080100401,2012,CH-B03,4,8/8/2012,67.00,-166.00,66.546,-165.977,19,2,29.3984,9.7804,1.184696038,83.2077,27.803,105.2906,22.617,0.3708045,9.809645,0.09809645,0.009809644,0.3139086,,,,
'2012080100401,2012,CH-B03,4,8/8/2012,67.00,-166.00,66.546,-165.977,19,3,29.398,9.7805,1.156769836,83.1739,20.094,105.183,22.617,,,,,,,,,
'2012080100401,2012,CH-B03,4,8/8/2012,67.00,-166.00,66.546,-165.977,19,4,29.3995,9.7801,1.17421111,85.1559,16.778,105.3162,22.618,,,,,,,,,
'2012080100401,2012,CH-B03,4,8/8/2012,67.00,-166.00,66.546,-165.977,19,5,29.3994,9.7808,1.19266055,85.3722,13.167,105.2965,22.618,,,,,,,,,
'2012080100401,2012,CH-B03,4,8/8/2012,67.00,-166.00,66.546,-165.977,19,6,29.4032,9.7766,1.203548745,85.5339,10.401,105.2057,22.621,,,,,,,,,
'2012080100401,2012,CH-B03,4,8/8/2012,67.00,-166.00,66.546,-165.977,19,7,29.4059,9.7726,1.188829519,86.0193,7.7295,105.0009,22.624,,,,,,,,,
'2012080100401,2012,CH-B03,4,8/8/2012,67.00,-166.00,66.546,-165.977,19,8,29.4478,9.7072,1.218671237,85.6707,5.8545,104.6981,22.667,,,,,,,,,
'2012080100401,2012,CH-B03,4,8/8/2012,67.00,-166.00,66.546,-165.977,19,9,29.5193,9.5681,1.296501663,85.0599,4.7899,104.531,22.744,,,,,,,,,
'2012080100401,2012,CH-B03,4,8/8/2012,67.00,-166.00,66.546,-165.977,19,10,29.5298,9.5399,1.337634842,84.8522,3.84,104.5309,22.757,0.4051017,9.808758,0,0.009808758,0.7454656,,,,
'2012080100401,2012,CH-B03,4,8/8/2012,67.00,-166.00,66.546,-165.977,19,11,29.5653,9.4706,1.37372719,84.3931,2.9723,104.4523,22.795,,,,,,,,,
'2012080100401,2012,CH-B03,4,8/8/2012,67.00,-166.00,66.546,-165.977,19,12,29.5798,9.4455,1.443290654,83.2858,2.2716,104.2048,22.811,,,,,,,,,
'2012080100401,2012,CH-B03,4,8/8/2012,67.00,-166.00,66.546,-165.977,19,13,29.5913,9.4301,1.539570521,81.1342,1.7885,104.1621,22.822,,,,,,,,,
'2012080100401,2012,CH-B03,4,8/8/2012,67.00,-166.00,66.546,-165.977,19,14,29.5929,9.428,1.557717512,80.7338,1.3249,104.3771,22.823,0.5208155,9.710118,0.09808201,0.009808201,8.631217,,,,
'2012080100401,2012,CH-B03,4,8/8/2012,67.00,-166.00,66.546,-165.977,19,15,29.5947,9.4261,1.575662869,80.1707,0.98952,104.1953,22.825,,,,,,,,,
'2012080100601,2012,CH-B02,6,8/8/2012,67.00,-167.00,66.502,-167.259,29,0,26.642,10.1737,0.532614175,84.652,,105.2925,20.409,,,,,,,,,
'2012080100601,2012,CH-B02,6,8/8/2012,67.00,-167.00,66.502,-167.259,29,1,26.642,10.1737,0.532614175,84.652,,105.2925,20.409,,,,,,,,,
'2012080100601,2012,CH-B02,6,8/8/2012,67.00,-167.00,66.502,-167.259,29,2,26.642,10.1737,0.532614175,84.652,791.01,105.2925,20.409,0.3666464,14.74449,0.09829663,0.009829663,1.17956,,,,
'2012080100601,2012,CH-B02,6,8/8/2012,67.00,-167.00,66.502,-167.259,29,3,26.6406,10.181,0.508619821,84.3923,525.21,105.0989,20.406,,,,,,,,,
'2012080100601,2012,CH-B02,6,8/8/2012,67.00,-167.00,66.502,-167.259,29,4,26.641,10.1768,0.570218772,84.8646,373.3,104.5927,20.407,,,,,,,,,
'2012080100601,2012,CH-B02,6,8/8/2012,67.00,-167.00,66.502,-167.259,29,5,26.6436,10.1697,0.697046073,85.0307,286.67,104.1426,20.411,,,,,,,,,
'2012080100601,2012,CH-B02,6,8/8/2012,67.00,-167.00,66.502,-167.259,29,6,26.7717,9.9,0.975501563,85.009,198.77,103.5636,20.552,,,,,,,,,
'2012080100601,2012,CH-B02,6,8/8/2012,67.00,-167.00,66.502,-167.259,29,7,27.137,9.6657,1.711261216,84.0309,139.34,103.5519,20.872,,,,,,,,,
'2012080100601,2012,CH-B02,6,8/8/2012,67.00,-167.00,66.502,-167.259,29,8,27.6378,9.4143,2.208488759,82.3261,100.44,103.0279,21.3,,,,,,,,,
'2012080100601,2012,CH-B02,6,8/8/2012,67.00,-167.00,66.502,-167.259,29,9,27.8368,9.2794,2.506502672,81.1744,71.498,102.4362,21.475,,,,,,,,,
'2012080100601,2012,CH-B02,6,8/8/2012,67.00,-167.00,66.502,-167.259,29,10,27.8863,9.2619,2.557112612,80.9431,50.121,103.1217,21.516,0.487143,14.4375,0,0.009821431,0.2848215,,,,
'2012080100601,2012,CH-B02,6,8/8/2012,67.00,-167.00,66.502,-167.259,29,11,27.9863,9.2523,2.266861579,81.0531,35.125,104.0901,21.596,,,,,,,,,
'2012080100601,2012,CH-B02,6,8/8/2012,67.00,-167.00,66.502,-167.259,29,12,28.0266,9.2329,2.01250126,81.4092,25.848,104.0489,21.63,,,,,,,,,
'2012080100601,2012,CH-B02,6,8/8/2012,67.00,-167.00,66.502,-167.259,29,13,28.0583,9.1985,1.965722351,81.4278,19.647,103.6045,21.66,,,,,,,,,
'2012080100601,2012,CH-B02,6,8/8/2012,67.00,-167.00,66.502,-167.259,29,14,28.1968,9.0719,1.852202843,81.127,14.698,103.6221,21.787,,,,,,,,,
'2012080100601,2012,CH-B02,6,8/8/2012,67.00,-167.00,66.502,-167.259,29,15,28.4059,9.0689,1.881036395,80.7781,10.837,103.7905,21.95,,,,,,,,,
'2012080100601,2012,CH-B02,6,8/8/2012,67.00,-167.00,66.502,-167.259,29,16,28.7949,8.914,1.411735054,81.204,8.2389,101.4034,22.277,,,,,,,,,
'2012080100601,2012,CH-B02,6,8/8/2012,67.00,-167.00,66.502,-167.259,29,17,29.4529,8.3946,1.156064119,81.0842,6.5403,99.34904,22.866,,,,,,,,,
'2012080100601,2012,CH-B02,6,8/8/2012,67.00,-167.00,66.502,-167.259,29,18,29.8612,8.0916,0.61256175,77.4146,5.074,98.55795,23.229,,,,,,,,,
'2012080100601,2012,CH-B02,6,8/8/2012,67.00,-167.00,66.502,-167.259,29,19,29.9207,8.0716,0.564371408,69.8595,3.7195,98.91275,23.278,,,,,,,,,
'2012080100601,2012,CH-B02,6,8/8/2012,67.00,-167.00,66.502,-167.259,29,20,29.9931,8.0512,0.54199012,68.8425,2.602,99.37018,23.338,,,,,,,,,
'2012080100601,2012,CH-B02,6,8/8/2012,67.00,-167.00,66.502,-167.259,29,21,30.0622,8.0354,0.50982962,68.2801,2.1632,99.44328,23.394,0.6020277,11.86406,0.2941504,0.03922004,1.500167,,,,
'2012080100601,2012,CH-B02,6,8/8/2012,67.00,-167.00,66.502,-167.259,29,22,30.08,8.0268,0.479181369,69.4971,1.6082,99.56775,23.409,,,,,,,,,
'2012080100601,2012,CH-B02,6,8/8/2012,67.00,-167.00,66.502,-167.259,29,23,30.2069,7.9815,0.466075209,68.6474,1.1901,100.145,23.515,,,,,,,,,
'2012080100601,2012,CH-B02,6,8/8/2012,67.00,-167.00,66.502,-167.259,29,24,30.3198,7.9439,0.460127029,66.8366,0.8323,100.4844,23.609,,,,,,,,,
'2012080100601,2012,CH-B02,6,8/8/2012,67.00,-167.00,66.502,-167.259,29,25,30.3297,7.9411,0.456900897,64.1286,0.62641,100.3723,23.617,0.5568033,9.802875,0.1960575,0.0392115,1.872349,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,0,31.8118,5.3293,0.158483718,91.0411,143.05,109.5737,25.112,,,,,,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,1,31.8118,5.3293,0.158483718,91.0411,143.05,109.5737,25.112,,,,,,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,2,31.8118,5.3293,0.158483718,91.0411,143.05,109.5737,25.112,0.6247185,5.287587,0.3916731,0.01958365,1.204395,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,3,31.81128,5.336538,0.215646739,91.2117,104.73,109.8102,25.111,,,,,,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,4,31.81397,5.317307,0.224014518,91.7737,88.221,110.0393,25.115,,,,,,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,5,31.816,5.3099,0.205565077,92.2435,82.423,109.8668,25.118,,,,,,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,6,31.8201,5.2961,0.216050005,92.3567,73.215,109.6192,25.123,,,,,,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,7,31.8639,5.1205,0.191551568,92.3406,66.008,109.9432,25.177,,,,,,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,8,31.88801,5.019231,0.326141748,92.4836,57.975,110.8182,25.207,,,,,,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,9,31.9066,4.8862,0.332594011,92.5062,50.746,111.3171,25.236,,,,,,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,10,32.0906,4.1701,0.436838391,92.44807,45.518,112.1084,25.456,0.7175268,5.971232,1.174669,0.03915562,1.683692,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,11,32.1835,3.7487,0.834257486,92.3424,39.55,112.6349,25.57,,,,,,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,12,32.3076,3.1349,0.972477064,91.6225,35.119,113.1477,25.725,,,,,,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,13,32.3272,2.9339,1.381994153,91.037,31.17,113.7627,25.758,,,,,,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,14,32.3294,2.9177,1.528077427,90.5998,26.248,113.7887,25.761,,,,,,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,15,32.3286,2.9054,1.730416373,90.4171,22.327,113.928,25.761,,,,,,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,16,32.3277,2.8988,1.89757032,90.1345,19.22,113.9183,25.761,,,,,,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,17,32.3277,2.8935,1.860368989,90.3597,16.614,114.0667,25.761,,,,,,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,18,32.3267,2.8854,1.730920456,90.191,14.806,114.3059,25.761,,,,,,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,19,32.3254,2.8852,2.340860974,90.3297,12.67,114.4875,25.76,,,,,,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,20,32.3419,2.8315,2.790704708,89.8721,11.173,116.6249,25.778,0.8241785,7.243374,1.664018,0.04894172,0.8515859,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,21,32.36589,2.7801,5.122492187,89.2549,9.633,118.5283,25.801,,,,,,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,22,32.38205,2.5348,5.905736465,86.7183,7.6416,115.691,25.834,,,,,,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,23,32.39282,2.1096,6.132372215,86.8105,6.4156,111.8526,25.875,,,,,,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,24,32.40224,1.5913,0.968746849,87.7549,5.448,110.2427,25.919,,,,,,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,25,32.4086,1.5324,0.385825184,89.5693,4.8344,110.0801,25.929,,,,,,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,26,32.4094,1.538,0.065429983,89.8033,4.4633,110.0926,25.929,,,,,,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,27,32.4187,1.5647,0.129650166,90.319,3.5414,110.0283,25.934,,,,,,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,28,32.4267,1.5545,0.393285613,91.2656,3.3397,109.3409,25.942,,,,,,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,29,32.4347,1.539,0.212118157,91.5866,2.5129,108.9903,25.949,,,,,,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,30,32.4356,1.5463,0.166246597,91.9866,2.5143,108.8987,25.949,0.9954035,7.73224,2.153282,0.05872587,1.889016,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,31,32.4393,1.5939,0.213630406,92.0556,2.4022,108.6721,25.949,,,,,,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,32,32.4423,1.6195,0.263635447,92.4463,2.1272,108.5587,25.95,,,,,,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,33,32.4469,1.662,0.368887993,92.6432,1.8301,108.536,25.951,,,,,,,,,
'2012080100901,2012,CH-B01,9,8/9/2012,67.00,-169.00,66.502,-168.505,52,34,32.4502,1.6839,0.33531606,92.1833,1.6355,108.3575,25.952,,,,,,,,,
